Begin Date,Begin Time,End Time,Vehicle Location,Vehicle Type,Vehicle Characteristics,Transaction Characteristics,Bikeway Users Displaced,LZ Space Avail,Occupied while idle?,CNS?,TNC?,Notes,Duration
8/21/2019,7:52:53 PM,8:29:24 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:36:31
8/21/2019,7:53:41 PM,8:19:16 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:25:35
8/21/2019,7:58:25 PM,7:59:34 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,,FALSE,TRUE,FALSE,,0:01:09
8/21/2019,8:01:15 PM,8:02:58 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,2,,FALSE,TRUE,FALSE,,0:01:43
8/21/2019,8:12:37 PM,8:15:34 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,,TRUE,TRUE,FALSE,,0:02:57
8/21/2019,8:19:32 PM,8:19:52 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:00:20
8/21/2019,8:20:50 PM,8:25:55 PM,SB bike lane,Car,,,0,,FALSE,TRUE,FALSE,,0:05:05
8/21/2019,8:21:40 PM,8:25:04 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:03:24
8/21/2019,8:25:24 PM,8:25:55 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:00:31
8/21/2019,8:26:14 PM,8:30:03 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:03:49
8/21/2019,8:28:58 PM,8:29:24 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:00:26
8/21/2019,8:30:34 PM,9:58:04 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,1:27:30
8/21/2019,8:31:39 PM,10:30:00 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,FALSE,FALSE,FALSE,,1:58:21
8/21/2019,8:34:00 PM,8:37:47 PM,SB bike lane,Car,Blinkers on,,0,,FALSE,TRUE,FALSE,,0:03:47
8/21/2019,8:35:51 PM,8:43:00 PM,SB bike lane,Car,Blinkers on,,0,,FALSE,TRUE,FALSE,,0:07:09
8/21/2019,8:42:30 PM,8:44:06 PM,SB bike lane,Car,,,0,,FALSE,FALSE,TRUE,Probable TNC,0:01:36
8/21/2019,8:44:11 PM,8:47:14 PM,SB bike lane,Car,Blinkers on,,3,,FALSE,TRUE,FALSE,,0:03:03
8/21/2019,8:57:51 PM,9:00:59 PM,SB bike lane,Car,Blinkers on,,1,,FALSE,TRUE,FALSE,,0:03:08
8/21/2019,9:01:23 PM,9:02:16 PM,SB bike lane,Car,,,1,,FALSE,FALSE,TRUE,,0:00:53
8/21/2019,9:08:30 PM,9:09:16 PM,SB bike lane,Car,,,0,,FALSE,FALSE,TRUE,,0:00:46
8/21/2019,9:17:23 PM,9:19:13 PM,SB bike lane,Car,,,0,,FALSE,TRUE,FALSE,,0:01:50
8/21/2019,9:28:50 PM,9:31:03 PM,SB bike lane,Car,,,0,,TRUE,TRUE,FALSE,Confirmed CNS,0:02:13
8/21/2019,9:36:00 PM,9:36:08 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:08
8/21/2019,9:51:46 PM,9:52:03 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:00:17
8/21/2019,9:58:58 PM,10:30:00 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:31:02
8/21/2019,10:12:45 PM,10:12:53 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:08
8/21/2019,10:15:40 PM,10:16:47 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:01:07
8/22/2019,12:09:00 PM,12:09:09 PM,SB bike lane,Car,,,,,FALSE,TRUE,FALSE,,0:00:09
8/22/2019,12:00:00 PM,2:28:52 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,2:28:52
8/22/2019,12:00:00 PM,1:28:08 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,1:28:08
8/22/2019,12:10:30 PM,12:10:46 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:16
8/22/2019,12:27:16 PM,12:27:34 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:18
8/22/2019,12:43:00 PM,12:43:13 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:00:13
8/22/2019,12:45:00 PM,12:45:11 PM,SB bike lane,Car,,,0,,FALSE,TRUE,FALSE,,0:00:11
8/22/2019,1:09:06 PM,1:10:23 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:01:17
8/22/2019,13:11:36,1:11:55 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:00:19
8/22/2019,1:19:00 PM,1:23:08 PM,SB bike lane,Car,,,1,,FALSE,FALSE,FALSE,,0:04:08
